#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  5.12e+06  | 632651086|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.13424144|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.65578751|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.21863462|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.43839634|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.47507347|  PASSED  
        diehard_opso|   0|   2097152|     100|0.85841009|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.11671126|  PASSED  
         diehard_dna|   0|   2097152|     100|0.61808048|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.64297544|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.48539679|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.45040839|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.22578694|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.31081419|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.70123438|  PASSED  
        diehard_sums|   0|       100|     100|0.99243670|  PASSED  
        diehard_runs|   0|    100000|     100|0.65866818|  PASSED  
        diehard_runs|   0|    100000|     100|0.55837964|  PASSED  
       diehard_craps|   0|    200000|     100|0.09846806|  PASSED  
       diehard_craps|   0|    200000|     100|0.03387119|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.03011816|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.19425458|  PASSED  
         sts_monobit|   1|    100000|     100|0.96966584|  PASSED  
            sts_runs|   2|    100000|     100|0.99743967|   WEAK   
          sts_serial|   1|    100000|     100|0.81601545|  PASSED  
          sts_serial|   2|    100000|     100|0.76044313|  PASSED  
          sts_serial|   3|    100000|     100|0.06128642|  PASSED  
          sts_serial|   3|    100000|     100|0.16387237|  PASSED  
          sts_serial|   4|    100000|     100|0.05668347|  PASSED  
          sts_serial|   4|    100000|     100|0.97047984|  PASSED  
          sts_serial|   5|    100000|     100|0.65081755|  PASSED  
          sts_serial|   5|    100000|     100|0.14540969|  PASSED  
          sts_serial|   6|    100000|     100|0.44191120|  PASSED  
          sts_serial|   6|    100000|     100|0.38985137|  PASSED  
          sts_serial|   7|    100000|     100|0.33300507|  PASSED  
          sts_serial|   7|    100000|     100|0.39185000|  PASSED  
          sts_serial|   8|    100000|     100|0.50934847|  PASSED  
