#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  5.63e+06  |4200213955|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.27807841|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.69003439|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.09806208|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.79949728|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.50073951|  PASSED  
        diehard_opso|   0|   2097152|     100|0.65394724|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.99483965|  PASSED  
         diehard_dna|   0|   2097152|     100|0.73798246|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.24632876|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.32165034|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.37100770|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.85662011|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.41664466|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.86884389|  PASSED  
        diehard_sums|   0|       100|     100|0.01668733|  PASSED  
        diehard_runs|   0|    100000|     100|0.75615543|  PASSED  
        diehard_runs|   0|    100000|     100|0.91420119|  PASSED  
       diehard_craps|   0|    200000|     100|0.22490163|  PASSED  
       diehard_craps|   0|    200000|     100|0.39888109|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.60592038|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.75383520|  PASSED  
         sts_monobit|   1|    100000|     100|0.25918999|  PASSED  
            sts_runs|   2|    100000|     100|0.83027885|  PASSED  
          sts_serial|   1|    100000|     100|0.74320903|  PASSED  
          sts_serial|   2|    100000|     100|0.07841705|  PASSED  
          sts_serial|   3|    100000|     100|0.65207719|  PASSED  
          sts_serial|   3|    100000|     100|0.06210509|  PASSED  
          sts_serial|   4|    100000|     100|0.70767053|  PASSED  
          sts_serial|   4|    100000|     100|0.53822821|  PASSED  
          sts_serial|   5|    100000|     100|0.91086108|  PASSED  
          sts_serial|   5|    100000|     100|0.75533994|  PASSED  
          sts_serial|   6|    100000|     100|0.63120415|  PASSED  
          sts_serial|   6|    100000|     100|0.19827811|  PASSED  
          sts_serial|   7|    100000|     100|0.32482144|  PASSED  
          sts_serial|   7|    100000|     100|0.60082236|  PASSED  
          sts_serial|   8|    100000|     100|0.78851418|  PASSED  
          sts_serial|   8|    100000|     100|0.91016614|  PASSED  
          sts_serial|   9|    100000|     100|0.83365122|  PASSED  
          sts_serial|   9|    100000|     100|0.91762345|  PASSED  
          sts_serial|  10|    100000|     100|0.79632278|  PASSED  
          sts_serial|  10|    100000|     100|0.23364225|  PASSED  
          sts_serial|  11|    100000|     100|0.43232244|  PASSED  
          sts_serial|  11|    100000|     100|0.11570136|  PASSED  
          sts_serial|  12|    100000|     100|0.61692025|  PASSED  
          sts_serial|  12|    100000|     100|0.40236959|  PASSED  
          sts_serial|  13|    100000|     100|0.21944432|  PASSED  
          sts_serial|  13|    100000|     100|0.06190553|  PASSED  
          sts_serial|  14|    100000|     100|0.06778635|  PASSED  
          sts_serial|  14|    100000|     100|0.93632768|  PASSED  
          sts_serial|  15|    100000|     100|0.05742427|  PASSED  
          sts_serial|  15|    100000|     100|0.84799297|  PASSED  
          sts_serial|  16|    100000|     100|0.76484251|  PASSED  
          sts_serial|  16|    100000|     100|0.28038681|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.72832617|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.62046899|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.43254364|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.78324074|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.92191945|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.03789474|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.67293863|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.51571722|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.86191988|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.65148319|  PASSED  
